source	index	content	tag
ep-02-12-17.txt	1	Febre aftosa: lições a tirar e futuras medidas	"<SPEAKER ID=6 NAME=""Presidente."">"
ep-02-12-17.txt	2	Segue-se na ordem do dia o relatório (A5-0405/2002) do deputado Kreissl-Dörfler, em nome da Comissão Temporária para a Febre Aftosa, sobre a luta contra a febre aftosa na União Europeia em 2001 e as medidas a tomar para evitar e combater as epizootias na União Europeia (2002/2153 (INI)).	"<SPEAKER ID=7 NAME=""Kreissl-Dörfler (PSE)"">"
ep-02-12-17.txt	3	. (DE) Senhor Presidente, Senhor Comissário Byrne, caros colegas, gostaria de começar por agradecer calorosamente a todos os colegas que fizeram um trabalho importante na comissão e no relatório. Agradeço particularmente à nossa presidente, a senhora deputada Redondo Jiménez, ao secretariado, que fez um excelente trabalho, ao serviço científico e à Comissão.	<P>
ep-02-12-17.txt	4	Em Fevereiro de 2001 verificou-se aquele que foi, sem dúvida, o surto mais grave de febre aftosa alguma vez ocorrido na Europa. Afectou a Irlanda, os Países Baixos, a França e, nomeadamente, a Grã-Bretanha. Só na Grã-Bretanha, onde a epidemia realmente surgiu, as estimativas oficiais referem o abate de 6,5 milhões de animais durante o combate da mesma. Outras fontes referem até 10 milhões. Os Países Baixos perderam 285 000 animais e a França, onde houve quatro surtos, 65 000 animais. As consequências foram catastróficas para todas as pessoas envolvidas. Não faz qualquer sentido que qualquer política futura sobre epidemias se baseie exclusivamente no abate de animais como forma de erradicar o vírus, pelo que esse tipo de abordagem não será mais tolerado pelos cidadãos da UE.	<P>
ep-02-12-17.txt	5	No início do ano, o nosso Parlamento criou uma comissão temporária - e não uma comissão de inquérito, como alguns membros infelizmente teimam em acreditar - cujo objectivo era ajudar a criar uma política melhorada que funcionasse não apenas a nível da UE. Uma das nossas tarefas era utilizar inúmeras audições públicas e visitas aos locais para analisar os acontecimentos nos Estados-Membros afectados, para os avaliar com imparcialidade e usar o que aprendemos desse modo para tirar conclusões importantes relativamente a uma política europeia para a febre aftosa. Isso também significa que não temos qualquer função judicial, nem podemos resolver disputas científicas. No nosso relatório não podemos julgar e muito menos condenar alguém a priori por algo que nem sequer podemos provar. Não era essa a nossa função e não estávamos equipados para esse fim. Caros colegas, tenho a certeza de que qualquer outro Governo da UE teria tido problemas idênticos para resolver se tivesse enfrentado um cenário comparável, com 50 a 70 surtos simultâneos em todo o país, e que afectou igualmente os ovinos.	<P>
ep-02-12-17.txt	6	Sabemos hoje que, após a paragem da vacinação na EU, em 1992, no seguimento de considerações políticas de carácter económico e comercial, os planos de emergência elaborados eram defeituosos, concebidos somente para alguns surtos e não para um cenário possível, mais pessimista, como foi este. O facto de o Organismo Internacional das Epizootias, o OIE, só ter restaurado a designação de 'indemne a febre aftosa sem vacinação? 12 meses depois da última vacinação significava que o lema era 'matar em vez de inocular, ou inocular apenas para depois abater?. Esse período foi reduzido para seis meses desde Maio deste ano, o que é um grande progresso. Nós defendemos os três meses.	<P>
ep-02-12-17.txt	7	Gostaria agora de enumerar algumas das nossas exigências mais importantes. A política futura deverá incluir não só planos de emergência eficazes para o combate de epidemias, como também todos os Estados-Membros deverão testar o desempenho das suas redes de comunicações e estruturas de tomada de decisão numa emergência e efectuar exercícios de emergência transfronteiriços em tempo real. É igualmente fundamental que os planos tenham mais em conta do que até à data os efeitos psico-sociais de qualquer política para os agricultores afectados pela epidemia e para todos aqueles proibidos de movimentar animais. Além disso, há que dar mais atenção à biossegurança. Cada agricultor tem de ter cuidado com o que dá a comer aos seus animais, a quem compra os animais e a rapidez com que os junta aos restantes animais. Foram as práticas irresponsáveis de trabalho de um agricultor que causaram o surto da epidemia na Grã-Bretanha. Tem de se aperfeiçoar a rastreabilidade dos animais e, por conseguinte, também a forma como são identificados. É igualmente importante fazer todos os possíveis para evitar importações ilegais de produtos animais de países onde a febre aftosa é endémica. A Comissão já decidiu, por exemplo, que turistas desses países já não podem trazer produtos desse tipo para a UE. Mas a nossa exigência mais importante em termos de acção contra epidemias futuras é que a vacinação de emergência seja considerada como o recurso de primeira escolha, o que permitirá que os animais vivam e que os produtos provenientes dos mesmos sejam comercializados a nível regional. Isso seria uma melhoria decisiva ao que foi feito no passado, uma vez que continua a não haver uma discussão sobre a ausência total de qualquer risco para a saúde dos seres humanos na carne de animais inoculados e noutros produtos derivados dos mesmos. Esta é pois uma área onde é urgente informar as pessoas.	<P>
ep-02-12-17.txt	8	Gostaria, no entanto, de esclarecer uma coisa. Os animais infectados continuarão a ser abatidos, assim como quaisquer animais em risco pelo facto de estarem em contacto com os mesmos. As considerações económicas e as exigências do mercado interno, entre outras, significam que não haverá tão cedo um regresso à vacinação geral, nem isso foi exigido nas audições até à data por qualquer perito conceituado. Não aumentem demasiado as esperanças das pessoas. Isso seria uma irresponsabilidade.	<P>
ep-02-12-17.txt	9	No entanto, é necessário continuar a investigação no sentido de descobrir uma vacina que disponha de um marcador adequado e duradouro, capaz de abranger todos os serotipos e permitir fazer uma distinção indiscutível entre animais inoculados e infectados. É de referir que, até 1990, na Alemanha, só eram inoculados bovinos e mais nenhum outro animal.	<P>
ep-02-12-17.txt	10	Caros colegas, estou convencido que uma política como aquela que propomos irá acabar com imagens como aquelas que foram transmitidas em todo o mundo o ano passado.	<P>
