idplaces	name	country	country_code	longitude	latitude
000073352b5bd43a	Pico Truncado	Argentina	AR	-67.9561153	-46.7965242
0000ffd41ff0eaac	Pereira	Colombia	CO	-75.690601	4.8087174
0001eac9096ed83c	San Fernando del Valle de Catamarca	Argentina	AR	-65.7795441	-28.469581
00025abf09ee76e2	Caucasia	Colombia	CO	-75.1985629	7.979698
000292fc001f4dc4	Cosquín	Argentina	AR	-64.4703813	-31.2468127
0003325e5c63a062	Victor Larco Herrera	Peru	PE	-79.046992	-8.133917799999999
0003557c7b244fd3	San José	Costa Rica	CR	-84.0907246	9.9280694
0003b65730e429eb	Barrio Parque Almirante Irizar	Argentina	AR	-58.4002472	-34.5796724
000426466c9f6e32	La Romana	Dominican Republic	DO	-68.9658817	18.4338645
00049798250632c1	Girardot	Colombia	CO	-74.8031414	4.3045959
0004c3fb58780d2a	Callao	Peru	PE	-77.1259843	-12.0508491
00054d3a0a8df14e	Mendoza	Argentina	AR	-68.8458386	-32.8894587
00058899244b705d	San Bartolo	Peru	PE	-76.77046419999999	-12.3849381
0005a92a6b72edeb	Pilar	Argentina	AR	-58.9091671	-34.4778621
0005b7263270d37f	Buin	Chile	CL	-70.742431	-33.7313897
000740067e1156ab	Chía	Colombia	CO	-74.0325368	4.8615787
0008033749106b3d	Ventanas	Ecuador	EC	-79.4604818	-1.4441882
00082bc93ac0e177	Montalvo	Ecuador	EC	-79.2873953	-1.7879521
00082d21223f8397	Santa Marta	Colombia	CO	-74.2110227	11.2403547
00090761404cb268	Chimbas	Argentina	AR	-68.51279079999999	-31.4922964
000a15027a9003e0	Cañada de Gomez	Argentina	AR	-61.3953734	-32.8211646
000a610a5a637388	Valdivia	Colombia	CO	-75.39215	7.29117
000a85935b3608b2	Cañuelas	Argentina	AR	-58.75950530000001	-35.04914249999999
000ac536774ebaa6	Pedro Aguirre Cerda	Chile	CL	-70.67650259999999	-33.4940901
000af2920fcd0d30	Temuco	Chile	CL	-72.5903739	-38.7359018
000b2cae4cb227ee	Strobel	Argentina	AR	-71.1960709	-48.444126
