idplaces	id	person	position
fe0976e251238e56	711527	3pl	pos
56933d34eb0f964a	2672525	3pl	pos
0085b01d4f65f576	3649542	3pl	ant
01fba2a14bc1aaea	3768988	3pl	ant
00ccde463aac66d2	4142908	3pl	pos
0134e9670afa8f32	4318256	3pl	pos
c3f37afa9efcf94b	4398871	3pl	pos
012c447f4ce72363	4534082	3pl	pos
00ec4c32070f5076	5533476	3pl	pos
4e43cac8250a8b20	5560383	3pl	pos
018f1cde6bad9747	5647348	3pl	pos
043383f8b2b79918	6159759	3pl	pos
dd5ca53bdb47a1cb	6344013	3pl	pos
01bd400c1ee9db95	6478499	3pl	pos
42d7d0350d479d5c	6967637	3pl	pos
01566b25bbe7a6d3	8273860	3pl	ant
0079bbc151fa56d2	8432549	3pl	pos
012af435641420c7	9224906	3pl	pos
43bf7210cd175772	9272366	3pl	ant
0138a2ed609c5a53	9300506	3pl	ant
018f1cde6bad9747	10287406	3pl	pos
0f89b841bb43e869	10750676	3pl	pos
0010b4cb51ca93d8	11215929	3pl	pos
004ad1e2734fc1e3	11466551	3pl	pos
756369b3bb32d6ec	11578314	3pl	pos
b295da6bc9b98185	11959223	3pl	pos
7efb0e99097064ea	12041645	3pl	pos
9e734074d7ec9d33	12905623	3pl	pos
0177894212b08f73	13130175	3pl	pos
018f1cde6bad9747	14532675	3pl	pos
0032baff35718ca4	14723274	3pl	pos
008be613029d4ca5	15393416	3pl	ant
4afa2757051c5192	15943123	3pl	ant
0d108e89013f0cd9	15952118	3pl	pos
25530ba03b7d90c6	16111639	3pl	pos
011a16c56feb41c3	16560171	3pl	pos
0016a28c5fdad928	16618923	3pl	pos
00e934ca5bc48cb6	17421462	3pl	ant
011b0c535eef38ac	217116	3pl	pos
00f6b5cf7c1767b1	7488094	3pl	ant
387b00909c2e7031	165617	2pl	ant
3afc29d1fe76301f	222887	1pl	ant
018f1cde6bad9747	1069520	3pl	pos
00e16d3406bae6d8	1886559	3pl	ant
0155aba4519b8d8d	1909086	3pl	ant
017d4fef075a2cf1	2488726	3pl	pos
3afc29d1fe76301f	2635992	2pl	ant
00b19b974fd465ae	2640136	3pl	ant
00b4d10d3be10c85	2865901	3pl	ant
0195013c14bb0e0e	2947405	3pl	pos
00b4d10d3be10c85	2971579	1pl	pos
d0f5be1262dee9aa	3176996	3pl	ant
31f494a9d78689b0	3288169	1pl	ant
d0f5be1262dee9aa	3373185	3pl	pos
6591282d67e31598	3942565	3pl	pos
0161be1b3f98d6c3	4291935	3pl	pos
00f6b5cf7c1767b1	4531511	3pl	ant
000da1a228db0cf7	4779435	3pl	pos
0138a2ed609c5a53	4928072	3pl	pos
1b02a08eb3273515	5429392	3pl	ant
043383f8b2b79918	6038959	3pl	pos
2dfa9ecb0179a4e4	6193867	3pl	ant
010fd77520d2d48a	6474967	1pl	ant
0ab9fd6675769ba4	6545869	3pl	pos
3ad512d283f67a11	6684459	3pl	pos
018f1cde6bad9747	7256838	3pl	ant
b19e24ce42ccd6aa	7382262	1pl	pos
0103d4375c78ffad	8062295	3pl	pos
cbdb0e7018443220	8077477	1pl	pos
00585da77f488367	8193994	3pl	ant
206c436ce43a43a3	8695262	2pl	pos
017115ee2013f809	9182009	3pl	pos
db3ae73fb88e93d8	9390317	1pl	pos
01153d1b33e1641b	9627319	3pl	ant
fbd9222706a6ca58	10784114	1pl	pos
22d8459be777e8bf	10909443	1pl	pos
004fe39f34e6452f	11121840	3pl	pos
014f72200f706d3f	11717406	3pl	ant
00cc64bf0c951160	11989889	3pl	pos
002880af1d28ba81	12044680	3pl	ant
6f1840cee437e17a	12364431	1pl	pos
1a27537478dd8e38	12867130	3pl	pos
63b42cf9e0b05dad	13004834	3pl	ant
d82fe13484f1ee4f	13270807	1pl	pos
9c61116b741a2d09	13500821	1pl	ant
d0f5be1262dee9aa	13912611	1pl	ant
b5afff97e6ca321c	14907647	1pl	ant
018f1cde6bad9747	15311916	3pl	pos
d9c0c694c1a86c2a	16118975	1pl	pos
0138a2ed609c5a53	16172593	3pl	pos
990a8a642025c178	17297335	1pl	pos
7974acce42d034d5	110966	3pl	ant
206c436ce43a43a3	266380	1pl	ant
043383f8b2b79918	1921240	3pl	pos
0bfd0d32583a313f	2033050	1pl	pos
0161be1b3f98d6c3	2638619	3pl	ant
00dc8225055a8fdc	2843305	3pl	pos
206c436ce43a43a3	5305331	1pl	ant
47a3cf27863714de	7956865	3pl	ant
0101525d656f78f9	8254793	1pl	ant
00f84d414936f28e	8310495	1pl	pos
01bd23a802fb1e24	8727690	1pl	pos
5465176413158680	9249549	1pl	pos
043383f8b2b79918	10484374	3pl	ant
