id	COSERID	number
5384_1	103	sg
1557_1	106	sg
1555_1	107	sg
5390_1	107	sg
5391_1	107	sg
1553_1	109	sg
1595_1	204	sg
4751_1	204	sg
5420_1	204	sg
5421_1	204	sg
5421_2	204	sg
1601_1	211	sg
1602_1	211	sg
1603_1	211	sg
1604_1	211	sg
1605_1	211	sg
1606_1	211	sg
1610_1	211	sg
4753_1	211	sg
5424_1	211	sg
5425_1	211	sg
5429_1	211	sg
5432_1	211	sg
5435_1	211	sg
1579_1	214	sg
1580_2	214	sg
1581_1	214	sg
1582_1	214	pl
1583_1	214	sg
1585_1	214	sg
1586_1	214	sg
1589_1	214	sg
1590_1	214	sg
4744_1	214	pl
5411_1	214	sg
5413_1	214	sg
5414_1	214	sg
1561_1	222	sg
1562_3	222	sg
1569_1	222	sg
1572_1	222	sg
1574_1	222	sg
1575_1	222	sg
1576_1	222	sg
1577_1	222	sg
5402_1	222	sg
5403_1	222	sg
5405_2	222	pl
5407_1	222	sg
5439_1	303	sg
1617_1	310	sg
1617_2	310	sg
1634_1	403	sg
1635_2	403	sg
1636_1	403	sg
4774_1	403	sg
5455_1	403	sg
5456_3	403	sg
5458_2	403	pl
1627_1	404	sg
1629_1	404	sg
1630_1	404	sg
5444_1	404	sg
5445_1	404	sg
1625_1	418	sg
1626_1	418	sg
1621_1	425	sg
1623_1	425	sg
1648_2	509	sg
1650_1	509	sg
1654_1	509	sg
1655_1	509	sg
1656_1	509	sg
5472_1	509	sg
1641_1	523	sg
1645_1	523	sg
5468_1	523	pl
5471_1	523	sg
1640_1	528	sg
5463_1	528	sg
5463_2	528	sg
5460_1	543	sg
1671_1	604	sg
1666_1	607	sg
1667_1	607	sg
1668_1	607	sg
1669_1	607	sg
5477_1	607	sg
1658_1	609	sg
1660_1	609	sg
1663_1	614	sg
1664_1	614	pl
1665_1	614	sg
5476_1	614	sg
1731_1	702	sg
1732_1	702	sg
1733_1	702	sg
5509_1	702	sg
1728_1	716	sg
1729_1	716	sg
1690_1	723	sg
1690_2	723	sg
1691_2	723	sg
1691_3	723	sg
1691_4	723	sg
1691_6	723	sg
1691_7	723	sg
1691_8	723	sg
1691_9	723	sg
1691_10	723	sg
1692_3	723	sg
1692_4	723	sg
1693_1	723	sg
1694_2	723	sg
1694_3	723	sg
1695_1	723	sg
1696_1	723	sg
1696_2	723	sg
1697_1	723	sg
1698_1	723	sg
1699_1	723	sg
1701_1	723	sg
1702_2	723	sg
1703_1	723	sg
1704_1	723	sg
1704_2	723	pl
1704_3	723	sg
1704_4	723	sg
1704_5	723	sg
1704_6	723	sg
1704_7	723	sg
1704_8	723	sg
1705_1	723	sg
1707_1	723	sg
1707_2	723	sg
1708_2	723	sg
1708_4	723	sg
1710_1	723	sg
1711_2	723	sg
1711_3	723	sg
1711_4	723	sg
1715_1	723	sg
1716_1	723	sg
1717_1	723	sg
1718_1	723	sg
1718_2	723	sg
1719_1	723	sg
1719_3	723	sg
1720_1	723	sg
1721_1	723	sg
1722_2	723	sg
1722_3	723	sg
1722_5	723	sg
1723_1	723	sg
1726_1	723	sg
1726_2	723	sg
5491_1	723	sg
5492_1	723	sg
5493_1	723	sg
5494_1	723	sg
5495_1	723	pl
