Canton	Kafi_gender
Aargau	Masc/Neut
Appenzell Ausserrhoden	Masc (predom.)
Appenzell Innerrhoden	Masc (predom.)
Basel-Landschaft	Masc (predom.)
Basel-Stadt	Masc (predom.)
Bern	Masc (predom.)
Fribourg	Masc/Neut
Glarus	Neut (predom.)
Graubünden	Masc (predom.)
Lucerne	Neut (predom.)
Sankt Gallen	Masc (predom.)
Schaffhausen	Masc (predom.)
Solothurn	Masc (predom.)
Schwyz	Masc/Neut
Thurgau	Masc (predom.)
Uri	Neut (predom.)
Nidwalden	Masc/Neut
Obwalden	Masc/Neut
Valais	Masc/Neut
Zug	Neut (predom.)
Zürich	Masc/Neut
