COSERID	pl	sg	total	location	longitude	latitude
103	0	1	1	El Burgo, Alava, España	-2.5452497	42.8496919
106	0	1	1	Leza , Alava, España	-2.6331952	42.5655215
107	0	3	3	Luzuriaga , Alava, España	-2.3935066	42.8858453
109	0	1	1	Menagaray, Alava, España	-3.0735861	43.0957124
204	0	5	5	Barrax, Albacete, España	-2.2014625	39.0445824
211	0	13	13	Higueruela, Albacete, España	-1.4422609	38.9618433
214	2	11	13	Lietor, Albacete, España	-1.9532994	38.54165450000001
222	1	11	12	Povedilla, Albacete, España	-2.6034236	38.7007435
303	0	1	1	Benimarfull, Alicante, España	-0.3919059	38.7760788
310	0	2	2	Salinas, Alicante, España	-0.9116263000000001	38.5195565
403	1	6	7	Aulago (Gérgal) , Almería , España	-2.6260607	37.1608418
404	0	5	5	Bacares, Almeria, España	-2.4534614	37.260773
418	0	2	2	Lucainena de las Torres  , Almería , España	-2.201005	37.0407929
425	0	2	2	Terque  , Almería , España	-2.5916443	36.9554833
509	0	6	6	Fechaladrona, Asturias, España	-5.5646813999999996	43.2067568
523	1	3	4	Cadavedo, Asturias, España	-6.388265199999999	43.5446386
528	0	3	3	Grullos, Asturias, España	-6.0591861	43.4361741
543	0	1	1	Santa Eulalia de Oscos, Asturias, España	-7.018259800000001	43.2583998
604	0	1	1	Burgohondo, Avila, España	-4.7859886	40.4126337
607	0	5	5	El Barco de avila, Avila, España	-5.5236746	40.3569063
609	0	2	2	Madrigal de las Altas Torres , Avila, España	-4.9980028	41.0900993
614	1	3	4	Narros del Puerto , Avila, España	-4.9928972	40.5416525
702	0	4	4	Fuenlabrada de los Montes, Badajoz, España	-4.935556	39.131667
716	0	2	2	La Garrovilla, Badajoz, España	-6.4781331	38.9207094
723	5	66	71	Orellana de la Sierra, Badajoz, España	-5.4967897	39.0309755
726	0	7	7	San Francisco de Olivenza, Badajoz, España	-7.105657799999999	38.7464317
728	5	5	10	Valencia del Ventoso, Badajoz, España	-6.4729904	38.2659373
803	18	4	22	La Serra (La Torre de Claramunt), Barcelona, España	1.6504154	41.5127548
922	1	9	10	Humada, Burgos, España	-4.0839205	42.6676872
924	0	3	3	La Horra , Burgos, España	-3.8744391	41.7415221
934	0	2	2	Pedruzo (Condado de Trevinno), Burgos, España	-2.6937272	42.7135997
939	0	2	2	Quintana de los Prados, Burgos, España	-3.5126652	43.076444
959	1	0	1	Villaverde-Mogina , Burgos, España	-4.050271299999999	42.1604357
1012	0	11	11	Jarandilla de la Vera, Caceres, España	-5.708940999999999	40.12627
1014	1	15	16	Moraleja, Caceres, España	-6.6576219	40.0703045
1015	0	17	17	Navalmoral de la Mata, Caceres, España	-5.5329619	39.8935644
1020	0	14	14	Talavan, Caceres, España	-6.2820789	39.7158444
1023	3	11	14	Campo Lugar, Caceres, España	-5.7734377	39.1947059
1102	0	3	3	Algar , Cádiz, España	-5.6546388	36.6585879
1107	1	2	3	Espera, Cadiz, España	-5.7932008	36.8776293
1116	4	0	4	San Jose de Malcocinado, Cadiz, España	-5.867777999999999	36.358333
1121	2	1	3	Torrecera (Jerez de la Frontera) , Cádiz, España	-5.9429525	36.60911189999999
1205	0	1	1	Castrillo de Valdelomar (Valderredible), Cantabria, España	-4.1237122	42.7971986
1212	1	4	5	Ledantes (Vega de Liébana), Cantabria, España	-4.6918715	43.069984
1219	0	1	1	El Portillo (Solórzano), Cantabria, España	-4.4410416	43.3486682
1228	1	3	4	Silio (Molledo), Cantabria, España	-4.0216571	43.1484054
1232	0	4	4	Vega de Pas , Cantabria, España	-3.7822445	43.1577629
1307	0	3	3	Jerica, Castellon, España	-0.5718884	39.9117766
1310	8	5	13	Puebla de Arenoso, Castellon, España	-0.5922985	40.1043981
1414	0	8	8	Malagon, Ciudad Real, España	-3.853225	39.1668064
1417	1	8	9	Porzuna, Ciudad Real, España	-4.155215399999999	39.1468093
1503	2	2	4	Aguilar de la Frontera  , Córdoba , España	-4.6566596	37.5138455
1505	0	6	6	Cardeña  , Córdoba , España	-4.3244079	38.2700436
1514	1	0	1	Santaella, Cordoba, España	-4.8429898	37.5622053
1517	0	7	7	Cañete de las Torres, Cordoba, España	-4.3192729	37.8663547
1603	1	8	9	Belmonte, Cuenca, España	-2.7055583	39.5579559
1607	2	18	20	Cardenete, Cuenca, España	-1.6894332	39.7671712
1634	2	1	3	Valeria (Las Valeras), Cuenca, España	-2.1472722	39.8124748
1823	0	4	4	La Calahorra  , Granada , España	-3.0638805	37.1814822
1832	0	5	5	Puebla de don Fadrique, Granada, España	-2.4375112	37.9598393
1834	2	3	5	Tablones (Órgiva), Granada, España	-3.3987447	36.88484710000001
