article_id	dialect	title	word	sentence_id	word_id	pos	verified
0	various	Bettwanze und Vire im Gepäck	Bettwanze	0	0	NN	no
0	various	Bettwanze und Vire im Gepäck	und	0	1	KON	no
0	various	Bettwanze und Vire im Gepäck	Vire	0	2	NN	no
0	various	Bettwanze und Vire im Gepäck	im	0	3	APPRART	no
0	various	Bettwanze und Vire im Gepäck	Gepäck	0	4	NN	no
0	various	Bettwanze und Vire im Gepäck	Vorsorg	0	5	NN	no
0	various	Bettwanze und Vire im Gepäck	Wer	0	6	PWS	no
0	various	Bettwanze und Vire im Gepäck	jetzt	0	7	ADV	no
0	various	Bettwanze und Vire im Gepäck	sini	0	8	PPOSAT	no
0	various	Bettwanze und Vire im Gepäck	Sommerferie	0	9	NN	no
0	various	Bettwanze und Vire im Gepäck	buecht	0	10	VVFIN	no
0	various	Bettwanze und Vire im Gepäck	,	0	11	$,	no
0	various	Bettwanze und Vire im Gepäck	sött	0	12	VMFIN	no
0	various	Bettwanze und Vire im Gepäck	a	0	13	APPR	no
0	various	Bettwanze und Vire im Gepäck	möglichi	0	14	ADJA	no
0	various	Bettwanze und Vire im Gepäck	unerwünschti	0	15	ADJA	no
0	various	Bettwanze und Vire im Gepäck	Gescht	0	16	NN	no
0	various	Bettwanze und Vire im Gepäck	dänke	0	17	VVINF	no
0	various	Bettwanze und Vire im Gepäck	:	0	18	$.	no
0	various	Bettwanze und Vire im Gepäck	Epidemie	1	0	NN	no
0	various	Bettwanze und Vire im Gepäck	,	1	1	$,	no
0	various	Bettwanze und Vire im Gepäck	Wire	1	2	NN	no
0	various	Bettwanze und Vire im Gepäck	und	1	3	KON	no
0	various	Bettwanze und Vire im Gepäck	Wanze	1	4	NN	no
0	various	Bettwanze und Vire im Gepäck	sind	1	5	VAFIN	no
0	various	Bettwanze und Vire im Gepäck	im	1	6	APPRART	no
0	various	Bettwanze und Vire im Gepäck	Vormarsch	1	7	NN	no
0	various	Bettwanze und Vire im Gepäck	.	1	8	$.	no
0	various	Bettwanze und Vire im Gepäck	Villi	2	0	PIS	yes
0	various	Bettwanze und Vire im Gepäck	buechet	2	1	VVFIN	no
0	various	Bettwanze und Vire im Gepäck	jetzt	2	2	ADV	no
0	various	Bettwanze und Vire im Gepäck	Griechäland	2	3	NE	yes
0	various	Bettwanze und Vire im Gepäck	wäge	2	4	APPR	no
0	various	Bettwanze und Vire im Gepäck	de	2	5	ART	no
0	various	Bettwanze und Vire im Gepäck	günschtige	2	6	ADJA	no
0	various	Bettwanze und Vire im Gepäck	Agebot	2	7	NN	no
0	various	Bettwanze und Vire im Gepäck	.	2	8	$.	no
0	various	Bettwanze und Vire im Gepäck	Doch	3	0	ADV	no
0	various	Bettwanze und Vire im Gepäck	Achtung	3	1	NN	no
0	various	Bettwanze und Vire im Gepäck	:	3	2	$.	no
0	various	Bettwanze und Vire im Gepäck	Uf	4	0	APPR	no
0	various	Bettwanze und Vire im Gepäck	de	4	1	ART	no
0	various	Bettwanze und Vire im Gepäck	Website	4	2	NN	no
0	various	Bettwanze und Vire im Gepäck	Savetravel.ch	4	3	NE	no
0	various	Bettwanze und Vire im Gepäck	warnt	4	4	VVFIN	no
0	various	Bettwanze und Vire im Gepäck	es	4	5	ART	no
0	various	Bettwanze und Vire im Gepäck	Expertekomitee	4	6	NN	no
0	various	Bettwanze und Vire im Gepäck	vor	4	7	APPR	no
0	various	Bettwanze und Vire im Gepäck	ere	4	8	ART	no
0	various	Bettwanze und Vire im Gepäck	neue	4	9	ADJA	no
0	various	Bettwanze und Vire im Gepäck	Tollwuet-epidemie	4	10	NN	no
