"id"	"Reflexive_pronoun"	"De_complement"	"Year"	"Verb"
1	"no"	"no"	1386	"burlar"
2	"no"	"yes"	1400	"burlar"
3	"no"	"yes"	1412	"burlar"
4	"no"	"no"	1412	"burlar"
5	"no"	"yes"	1428	"burlar"
6	"no"	"yes"	1428	"burlar"
7	"no"	"yes"	1428	"burlar"
8	"no"	"yes"	1428	"burlar"
9	"no"	"no"	1428	"burlar"
10	"no"	"yes"	1428	"burlar"
11	"no"	"no"	1428	"burlar"
12	"no"	"yes"	1428	"burlar"
13	"no"	"yes"	1428	"burlar"
14	"no"	"yes"	1428	"burlar"
15	"no"	"yes"	1428	"burlar"
16	"no"	"yes"	1428	"burlar"
17	"no"	"yes"	1428	"burlar"
18	"no"	"yes"	1428	"burlar"
19	"no"	"yes"	1428	"burlar"
20	"no"	"no"	1428	"burlar"
21	"no"	"yes"	1428	"burlar"
22	"no"	"yes"	1428	"burlar"
23	"no"	"yes"	1428	"burlar"
24	"no"	"yes"	1428	"burlar"
25	"no"	"yes"	1428	"burlar"
26	"no"	"yes"	1428	"burlar"
27	"no"	"no"	1428	"burlar"
28	"no"	"yes"	1428	"burlar"
29	"no"	"yes"	1428	"burlar"
30	"no"	"yes"	1428	"burlar"
31	"no"	"yes"	1428	"burlar"
32	"no"	"yes"	1428	"burlar"
33	"no"	"yes"	1428	"burlar"
34	"no"	"yes"	1428	"burlar"
35	"no"	"yes"	1428	"burlar"
36	"no"	"yes"	1428	"burlar"
37	"no"	"yes"	1428	"burlar"
38	"no"	"yes"	1428	"burlar"
39	"no"	"yes"	1428	"burlar"
40	"no"	"yes"	1428	"burlar"
41	"no"	"yes"	1428	"burlar"
42	"no"	"no"	1428	"burlar"
43	"no"	"yes"	1428	"burlar"
44	"no"	"yes"	1428	"burlar"
45	"no"	"yes"	1428	"burlar"
46	"no"	"yes"	1428	"burlar"
47	"no"	"yes"	1428	"burlar"
48	"no"	"yes"	1428	"burlar"
49	"no"	"no"	1428	"burlar"
50	"no"	"no"	1428	"burlar"
51	"no"	"no"	1428	"burlar"
52	"no"	"no"	1428	"burlar"
53	"no"	"yes"	1428	"burlar"
54	"no"	"no"	1428	"burlar"
55	"no"	"yes"	1428	"burlar"
56	"no"	"yes"	1428	"burlar"
57	"no"	"yes"	1428	"burlar"
58	"no"	"yes"	1428	"burlar"
59	"no"	"yes"	1428	"burlar"
60	"no"	"yes"	1428	"burlar"
61	"no"	"yes"	1428	"burlar"
62	"no"	"yes"	1428	"burlar"
63	"no"	"yes"	1428	"burlar"
