"id"	"Word"	"Suffix"	"Latitude"	"Longitude"	"century"
"PSCR7847"	"administracioncilla"	"illo"	"41.5274417"	"-5.3913375"	1800
"PSCR8535"	"afizionadita"	"ito"	"37.471274"	"-5.6418214"	1700
"PSCR6539"	"alajitas"	"ito"	"43.3639427"	"-4.5730822"	1700
"PSCR7780"	"alejueta"	"ete"	"42.2489706"	"-4.9682094"	1800
"PS5095"	"alexandrino"	"ino"	"40.4167754"	"-3.7037902"	1500
"PS5098"	"alexandrino"	"ino"	"40.4167754"	"-3.7037902"	1500
"PS6150"	"alfonbrica"	"ico"	"39.874968"	"-4.049044"	1700
"PSCR8546"	"alfonsillo"	"illo"	"39.4717383"	"-3.5332049"	1700
"PS6080"	"alvertico"	"ico"	"43.3623436"	"-8.4115401"	1600
"PSCR6432"	"andresito"	"ito"	"41.6212364"	"-3.8303875"	1600
"PSCR5876"	"angelita"	"ito"	"40.632489"	"-3.16017"	1800
"PSCR5876"	"angelita"	"ito"	"40.632489"	"-3.16017"	1800
"PSCR5877"	"angelita"	"ito"	"40.4167754"	"-3.7037902"	1800
"PSCR5877"	"angelita"	"ito"	"40.4167754"	"-3.7037902"	1800
"PSCR5877"	"angelita"	"ito"	"40.4167754"	"-3.7037902"	1800
"PS6147"	"angelito"	"ito"	"39.874968"	"-4.049044"	1700
"PSCR7557"	"angelito"	"ito"	"40.4167754"	"-3.7037902"	1700
"PS5049"	"anica"	"ico"	"37.7795941"	"-3.7849057"	1600
"PS5050"	"anica"	"ico"	"37.7182399"	"-3.9699874"	1600
"PS5050"	"anica"	"ico"	"37.7182399"	"-3.9699874"	1600
"PS5050"	"anica"	"ico"	"37.7182399"	"-3.9699874"	1600
"PS5108"	"anica"	"ico"	"40.4819791"	"-3.3635421"	1600
"PS4101"	"anica"	"ico"	"40.0703925"	"-2.1374162"	1700
"PS4102"	"anica"	"ico"	"40.0703925"	"-2.1374162"	1700
"PS4107"	"anica"	"ico"	"40.1845172"	"-2.7698914"	1700
"PS4107"	"anica"	"ico"	"40.1845172"	"-2.7698914"	1700
"PS4108"	"anica"	"ico"	"40.1845172"	"-2.7698914"	1700
"PS5043"	"anjelico"	"ico"	"37.7795941"	"-3.7849057"	1600
"PS8148"	"antonico"	"ico"	"39.874968"	"-4.049044"	1600
"PSCR6653"	"anttoñita"	"ito"	"40.4167754"	"-3.7037902"	1700
"PSCR6886"	"añicos"	"ico"	"42.1995625"	"-3.699729"	1800
"PSCR5422"	"aposentillo"	"illo"	"39.874968"	"-4.049044"	1600
"PSCR3501"	"apretadilla"	"illo"	"40.272658"	"-2.6034236"	1700
"PS8071"	"apuradilla"	"illo"	"39.9644899"	"-2.5365072"	1700
"PS8075"	"apurillos"	"illo"	"39.9644899"	"-2.5365072"	1800
"PSCR7555"	"arquita"	"ito"	"37.3890924"	"-5.9844589"	1700
"PSCR3501"	"arrobillas"	"illo"	"40.272658"	"-2.6034236"	1700
"PSCR5765"	"arroyuelo"	"uelo"	"43.4125462"	"-3.6982718"	1800
"PSCR5765"	"arroyuelo"	"uelo"	"43.4125462"	"-3.6982718"	1800
"PS6146"	"arzedianito"	"ito"	"39.874968"	"-4.049044"	1700
"PSCR6447"	"asnuelos"	"uelo"	"36.7212737"	"-4.4213988"	1600
"PSCR7052"	"azendilla"	"illo"	"37.3890924"	"-5.9844589"	1500
"PSCR5256"	"basineta"	"ete"	"43.353884"	"-1.010878"	1600
"PS6158"	"beatilla"	"illo"	"39.874968"	"-4.049044"	1700
"PSCR7341"	"bejeçica"	"ico"	"43.1828396"	"-3.9878427"	1600
"PSCR6695"	"belica"	"ico"	"37.3890924"	"-5.9844589"	1700
"PSCR6696"	"belica"	"ico"	"37.3890924"	"-5.9844589"	1700
"PSCR6697"	"belica"	"ico"	"37.3890924"	"-5.9844589"	1700
"PSCR8521"	"belica"	"ico"	"37.471274"	"-5.6418214"	1700
"PSCR7619"	"bessitos"	"ito"	"36.5270612"	"-6.2885962"	1700
"PSCR7302"	"blancillo"	"illo"	"38.6134369"	"-6.8210319"	1600
"PS4138"	"bolsica"	"ico"	"40.0703925"	"-2.1374162"	1500
"PSCR5422"	"bolsicos"	"ico"	"39.874968"	"-4.049044"	1600
"PS4101"	"borriquillo"	"illo"	"40.0703925"	"-2.1374162"	1700
"PSCR7875"	"botijonzito"	"ito"	"42.0988354"	"-5.0348832"	1700
"PSCR5417"	"brujina"	"ino"	"40.4167754"	"-3.7037902"	1600
"PSCR7818"	"burriquita"	"ito"	"42.4298846"	"-8.6446202"	1800
"PS5054"	"callejuela"	"uelo"	"41.652251"	"-4.7245321"	1600
"PSCR7281"	"cantaletas"	"ete"	"37.3890924"	"-5.9844589"	1600
"PSCR7642"	"cañamitos"	"ito"	"41.652251"	"-4.7245321"	1700
"PS4025"	"caperuçita"	"ito"	"39.874968"	"-4.049044"	1500
"PS4092"	"capotillo"	"illo"	"40.1845172"	"-2.7698914"	1700
"PS6082"	"carguilla"	"illo"	"43.3623436"	"-8.4115401"	1600
"PSCR7849"	"cartita"	"ito"	"39.6489137"	"-3.8858955"	1800
"PSCR5744"	"casaquilla"	"illo"	"39.874968"	"-4.049044"	1700
"PSCR8536"	"casilla"	"illo"	"37.471274"	"-5.6418214"	1700
"PSCR8536"	"casilla"	"illo"	"37.471274"	"-5.6418214"	1700
"PSCR8620"	"casita"	"ito"	"40.4167754"	"-3.7037902"	1700
"PS6076"	"causitas"	"ito"	"43.3623436"	"-8.4115401"	1600
"PSCR6748"	"cerquita"	"ito"	"36.5270612"	"-6.2885962"	1700
"PS4029"	"çestica"	"ico"	"39.874968"	"-4.049044"	1500
"PSCR6300"	"cestillas"	"illo"	"42.131845"	"-0.4078058"	1600
"PSCR6643"	"chalequito"	"ito"	"36.5270612"	"-6.2885962"	1700
"PSCR7520"	"chequitas"	"ito"	"36.5270612"	"-6.2885962"	1700
"PSCR5548"	"chiquirrittilla"	"illo"	"40.0217589"	"-3.9891183"	1700
"PSCR5744"	"chiquitilla"	"illo"	"39.874968"	"-4.049044"	1700
"PSCR6653"	"chiquitos"	"ito"	"40.4167754"	"-3.7037902"	1700
"PSCR6302"	"cholchilla"	"illo"	"41.6488226"	"-0.8890853"	1600
"PS6097"	"clarito"	"ito"	"42.282319"	"-8.8189135"	1600
"PSCR5256"	"clavitos"	"ito"	"43.353884"	"-1.010878"	1600
"PS8104"	"cojuelo"	"uelo"	"40.0703925"	"-2.1374162"	1600
"PSCR5723"	"colasillo"	"illo"	"39.8701609"	"-4.3619089"	1700
"PS4023"	"colyta"	"ito"	"39.874968"	"-4.049044"	1500
"PS8081"	"congojillas"	"illo"	"40.0703925"	"-2.1374162"	1700
"PSCR7875"	"cosica"	"ico"	"42.0988354"	"-5.0348832"	1700
"PSCR5749"	"cosilla"	"illo"	"39.874968"	"-4.049044"	1700
"PSCR6738"	"cosilla"	"illo"	"41.2535361"	"1.5925029"	1700
"PSCR2771"	"cosilla"	"illo"	"38.7222524"	"-9.1393366"	1800
"PSCR5726"	"cosillas"	"illo"	"40.9254668"	"-2.926335"	1700
"PSCR2771"	"cosillas"	"illo"	"38.7222524"	"-9.1393366"	1800
"PS6242"	"cosita"	"ito"	"40.5994005"	"-6.5307161"	1700
"PSCR6546"	"cositas"	"ito"	"43.4211483"	"-4.7562159"	1700
"PSCR7644"	"cositas"	"ito"	"40.1791713"	"-5.8279425"	1700
"PS5078"	"cossillas"	"illo"	"43.008934000000004"	"-2.2525776"	1600
"PSCR5417"	"cossitas"	"ito"	"40.4167754"	"-3.7037902"	1600
"PS6205"	"criaturitas"	"ito"	"35.8893874"	"-5.3213455"	1700
"PSCR8133"	"cubillete"	"ete"	"39.9005006"	"-4.2987379"	1500
"PS8015"	"cuentesita"	"ito"	"38.3459963"	"-0.4906855"	1800
"PSCR6790"	"cuerpecitos"	"ito"	"42.596064"	"-5.582449"	1800
"PSCR8277"	"cuñadita"	"ito"	"40.4167754"	"-3.7037902"	1600
"PSCR6146"	"dendalillas"	"illo"	"41.4636641"	"0.4107509"	1500
"PSCR5422"	"despensilla"	"illo"	"39.874968"	"-4.049044"	1600
"PSCR7550"	"dichillos"	"illo"	"37.3890924"	"-5.9844589"	1700
"PSCR3502"	"dinerillos"	"illo"	"40.4167754"	"-3.7037902"	1700
"PSCR7640"	"dolorcillos"	"illo"	"42.6302944"	"-5.2837911"	1800
"PSCR5539"	"dominchina"	"ino"	"41.0522387"	"-3.6521849"	1700
"PSCR6738"	"donetas"	"ete"	"41.2535361"	"1.5925029"	1700
"PS5017"	"encagonaditos"	"ito"	"39.874968"	"-4.049044"	1600
"PSCR6673"	"encarguitos"	"ito"	"37.3890924"	"-5.9844589"	1700
"PS8074"	"endeblilla"	"illo"	"39.9644899"	"-2.5365072"	1700
"PSCR6558"	"enfardaditas"	"ito"	"40.6144915"	"-4.3236759"	1700
"PSCR7520"	"enrredillos"	"illo"	"36.5270612"	"-6.2885962"	1700
"PSCR6652"	"estafetilla"	"illo"	"40.4167754"	"-3.7037902"	1700
"PSCR6063"	"estrelica"	"ico"	"39.874968"	"-4.049044"	1500
"PSCR6062"	"estrelica"	"ico"	"39.874968"	"-4.049044"	1500
"PS6160"	"flatillo"	"illo"	"39.874968"	"-4.049044"	1700
"PS5124"	"francisquin"	"in"	"40.4167754"	"-3.7037902"	1700
"PSCR6422"	"françisquito"	"ito"	"41.596716"	"-1.2674411"	1600
"PS5017"	"frangoticos"	"ico"	"39.874968"	"-4.049044"	1600
"PS8133"	"frasquillo"	"illo"	"39.874968"	"-4.049044"	1700
"PS8137"	"frasquillo"	"illo"	"39.874968"	"-4.049044"	1700
"PS6015"	"frasquita"	"ito"	"36.5270612"	"-6.2885962"	1700
"PSCR6643"	"frasquito"	"ito"	"36.5270612"	"-6.2885962"	1700
"PSCR8616"	"galleguin"	"in"	"41.652251"	"-4.7245321"	1700
"PSCR5417"	"gargantillas"	"illo"	"40.4167754"	"-3.7037902"	1600
"PSCR8558"	"gastillos"	"illo"	"42.3439925"	"-3.696906"	1700
"PSCR7817"	"gastillos"	"illo"	"42.3428119"	"-3.6988994"	1800
"PS4098"	"gentezillas"	"illo"	"40.0703925"	"-2.1374162"	1700
"PS4138"	"golpezicos"	"ico"	"40.0703925"	"-2.1374162"	1500
"PSCR7560"	"gorita"	"ito"	"36.5270612"	"-6.2885962"	1700
"PS4019"	"granito"	"ito"	"39.874968"	"-4.049044"	1500
"PS6177"	"gusanillo"	"illo"	"39.874968"	"-4.049044"	1700
"PS6185"	"gusanillo"	"illo"	"39.874968"	"-4.049044"	1700
"PSCR7851"	"haciendilla"	"illo"	"40.4819791"	"-3.3635421"	1800
"PSCR6450"	"hazendica"	"ico"	"36.7212737"	"-4.4213988"	1600
"PSCR5554"	"hermanita"	"ito"	"36.5270612"	"-6.2885962"	1700
"PSCR8537"	"hermanita"	"ito"	"37.471274"	"-5.6418214"	1700
"PSCR7799"	"hermanita"	"ito"	"42.4298846"	"-8.6446202"	1800
"PSCR7816"	"hermanita"	"ito"	"41.7841654"	"-3.9355696"	1800
"PSCR7820"	"hermanita"	"ito"	"42.4298846"	"-8.6446202"	1800
"PSCR7820"	"hermanito"	"ito"	"42.4298846"	"-8.6446202"	1800
"PSCR9292"	"hijico"	"ico"	"37.9967138"	"-3.4675943"	1600
"PS5036"	"hijito"	"ito"	"37.7182399"	"-3.9699874"	1600
"PS5036"	"hijito"	"ito"	"37.7182399"	"-3.9699874"	1600
"PS5038"	"hijito"	"ito"	"37.7182399"	"-3.9699874"	1600
"PSCR7580"	"jentezilla"	"illo"	"42.3343684"	"-2.4870018"	1700
"PSCR7300"	"jeromico"	"ico"	"42.7931905"	"-4.2622141"	1600
"PSCR6151"	"joanico"	"ico"	"42.5717166"	"-0.5470554"	1500
"PSCR7659"	"juachinita"	"ito"	"36.431902"	"-5.4509174"	1700
"PSCR7659"	"juachinita"	"ito"	"36.431902"	"-5.4509174"	1700
"PSCR7659"	"juachinita"	"ito"	"36.431902"	"-5.4509174"	1700
"PSCR7659"	"juachinita"	"ito"	"36.431902"	"-5.4509174"	1700
"PSCR7659"	"juachinita"	"ito"	"36.431902"	"-5.4509174"	1700
"PSCR7659"	"juachinita"	"ito"	"36.431902"	"-5.4509174"	1700
"PS6145"	"juanico"	"ico"	"39.874968"	"-4.049044"	1700
"PS6146"	"juanico"	"ico"	"39.874968"	"-4.049044"	1700
"PSCR6657"	"juanillo"	"illo"	"40.4167754"	"-3.7037902"	1700
"PS4132"	"juanito"	"ito"	"37.8881751"	"-4.7793835"	1700
"PSCR6886"	"juanito"	"ito"	"42.1995625"	"-3.699729"	1800
"PSCR5137"	"jubonçillo"	"illo"	"40.4167754"	"-3.7037902"	1500
"PSCR5431"	"jusepillo"	"illo"	"36.721261"	"-4.4212655"	1600
"PSCR6657"	"lamparilla"	"illo"	"40.4167754"	"-3.7037902"	1700
"PS4139"	"librico"	"ico"	"40.0703925"	"-2.1374162"	1500
"PSCR7038"	"librico"	"ico"	"37.3890924"	"-5.9844589"	1500
"PSCR3501"	"librillas"	"illo"	"40.272658"	"-2.6034236"	1700
"PS6083"	"librito"	"ito"	"43.3623436"	"-8.4115401"	1600
"PSCR5741"	"librito"	"ito"	"39.874968"	"-4.049044"	1700
"PSCR5745"	"llabecita"	"ito"	"39.874968"	"-4.049044"	1700
"PSCR7529"	"llavezita"	"ito"	"43.286261"	"-4.2432688"	1700
"PSCR7529"	"llavezita"	"ito"	"43.286261"	"-4.2432688"	1700
"PSCR7319"	"luçidica"	"ico"	"42.3439925"	"-3.696906"	1600
"PSCR6260"	"lugarzito"	"ito"	"40.9429032"	"-4.1088069"	1600
"PS6004"	"luisico"	"ico"	"41.8152783"	"-5.1575429"	1500
